name,timestamp,latitude,longitude
594 DFNA,2026-05-04T16:12:51.000Z,49.027039,-123.862373
595 DFNA,2026-05-04T16:11:31.843Z,49.005161,-123.833153
596 DFNA,2026-05-04T01:19:09.100Z,49.040333,-123.867058
597 DFNA,2026-05-04T16:12:44.000Z,49.005581,-123.833138
598 DFNA,2026-05-04T16:12:44.000Z,49.005413,-123.83313
599 DFNA,2026-04-28T21:50:30.000Z,49.107639,-123.893288
60 DFNA,2026-05-04T03:30:16.017Z,49.040642,-123.865143
600 DFNA,2026-05-04T02:49:13.713Z,49.040257,-123.865997
601 DFNA,2026-05-04T01:50:45.007Z,49.040337,-123.86647
602 DFNA,2026-05-04T03:24:22.963Z,49.040245,-123.866241
603 DFNA,2026-05-04T03:31:22.690Z,49.040207,-123.866432
604 DFNA,2026-04-25T20:45:11.000Z,49.040287,-123.865265
605 DFNA,2026-05-04T01:51:49.700Z,49.04044,-123.866165
606 DFNA,2026-05-04T03:16:13.837Z,49.040451,-123.866089
607 DFNA,2026-05-04T16:12:51.000Z,49.043858,-123.848854
608 DFNA,2026-05-04T16:12:45.000Z,49.005486,-123.83313
609 DFNA,2026-05-04T02:53:09.783Z,49.040421,-123.866455
610 DFNA,2026-05-04T16:11:22.717Z,49.005356,-123.833038
611 DFNA,2026-05-04T16:12:48.000Z,49.027409,-123.862755
612 DFNA,2026-05-04T16:12:45.000Z,49.026012,-123.861565
613 DFNA,2026-05-03T21:15:01.000Z,49.107563,-123.892815
614 DFNA,2026-05-04T16:11:46.650Z,49.005116,-123.833023
615 DFNA,2026-05-04T16:11:44.000Z,49.040264,-123.866882
616 DFNA,2026-05-04T16:12:15.000Z,49.039825,-123.865616
63 DFNA,2026-05-04T09:13:45.157Z,49.040272,-123.866814
64 Parts Van DFNA (No Geotab),2025-07-02T17:38:50.000Z,49.040302,-123.866776
65 DFNA,2026-05-04T14:54:53.510Z,49.040417,-123.866508
66 DFNA,2026-05-04T07:50:46.957Z,49.040421,-123.866226
67 DFNA,2026-05-04T04:26:58.023Z,49.040241,-123.86573
75 DFNA,2026-05-04T14:56:37.327Z,49.040245,-123.866982
CC 236 DFNA,2026-05-04T15:26:42.000Z,49.107521,-123.892944
DFNA - 59,2026-05-04T02:32:18.000Z,49.040245,-123.866867
DFNA 232 - Victoria (Craig),2022-02-14T23:04:30.017Z,49.142142,-123.930312
WRC 6133 DFNA,2018-05-15T23:38:03.829Z,49.002077,-122.733696
